,Link,Ingredients,Instructions,Image
Spring Onion Soup  Scallion Soup,https://www.vegrecipesofindia.com/spring-onion-soup/,"['bunch spring onions rinsed and chopped or approx  or  cups chopped spring onions with both whites and greens reserve a few greens for garnish', 'medium or large potato peeled and chopped in smaller pieces', 'or  garlic lahsun  chopped', 'or  teaspoon soy sauce', 'teaspoon dry oregano', 'cups water', 'tablespoon olive oil', 'salt as required', 'black pepper powder kali mirch powder or crushed black pepper as required', 'few parsley leaves for garnish optional']","['Heat olive oil in a pot Fry the garlic for  seconds', 'Add the spring onions and saute for  minutes on a low flame', 'Now add the chopped potatoes Season with salt and pepper Stir well', 'Pour water and stir again Cover the pot and simmer till the potatoes are cooked completely on a low to medium flame', 'Let the soup cool down a bit With a hand blender blend the soup till smooth The soup will appear thick now', 'Add soy sauce oregano and keep the soup to simmer for  minutes', 'If the soup appears too thick then you can add about  or  cup water or veg stock while simmering the soup', 'Serve spring onion soup hot plain or with some bread garnished with some spring onion greens or parsley']",https://www.vegrecipesofindia.com/wp-content/uploads/2013/07/spring-onion-soup.jpg
Suji ka Halwa   Sheera Recipe,https://www.vegrecipesofindia.com/sooji-halwa-recipe-rava-sheera/,"['cup suji  fine rava or semolina or cream of wheat', 'cup sugar or approximate  to  tablespoons sugar or add as required', 'cup Ghee  approximate  tablespoons of ghee', 'teaspoon cardamom powder  or  to  green cardamoms powdered in a mortarpestle husks discarded choti elaichi powder', 'to  cashews  halved or whole kaju', 'tablespoons raisins kishmish', 'teaspoon chironji  optional charoli', 'cups water  can also add  cup water', 'pinch edible camphor optional']","['Crush the green cardamom seeds to a fine powder in a mortarpestle and keep aside Remove the husks', 'Keep a kadai or pan on a low flame', 'Add the ghee and when the ghee is heating up do the following', 'Take the sugar and water in another pan', 'Keep this pan on a medium to high flame and let the sugar solution come to a boil', 'Once the ghee becomes hot add the suji semolina  cashews and stir', 'Keep on stirring the suji semolina so that the grains does not stick to the pan and are fried evenly', 'Meanwhile keep your attention on the sugar solution also', 'If the mixture starts to boil then lower the flame and let it simmer', 'Keep on frying  stirring the semolina for  to  mins till the grains change their color and when the cashews also change to a light golden or golden', 'Then add the cardamom powder chironji raisins and edible camphor optional Mix very well', 'Stir and then add the bubbling hot sugar solution slowly to the fried suji mixture', 'Be careful as the mixture has the tendency to splutter', 'Be quick enough to stir The sooji will begin to absorb the water and swell', 'Keep on stirring often till the whole mixture starts thickening and starts to leave the edges of the kadai or pan', 'Serve sooji halwa or sheera hot or warm or when cooled at room temperature']",https://www.vegrecipesofindia.com/wp-content/uploads/2014/07/sooji-halwa-1.jpg
Banana Bread Eggless and Vegan,https://www.vegrecipesofindia.com/banana-bread-eggless-vegan-recipe/,"['medium sized ripe bananas or over ripe bananas or  grams ripe bananas or  ounce ripe bananas', 'cups whole wheat flour or  grams whole wheat flour', 'cup coconut oil or sunflower oil or any vegetable oil or  ml coconut oil', 'cup brown sugar or unrefined cane sugar or regular granulated sugar', 'teaspoon vanilla powder or  teaspoon vanilla extract', 'teaspoon cinnamon powder  optional', 'to  pinches nutmeg powder or  teaspoon nutmeg powder  optional', 'to  tablespoon sunflower seeds  optional', 'teaspoon baking powder', 'teaspoon baking soda', 'pinch salt  optional']","['Preheat the oven to  degree celsius', 'Grease a bread tin or a rectangular cake pan with some coconut oil You can use the rectangular cake pan of size   x  x  inches or round cake pan  x  inches', 'Take sliced bananas and sugar in a mixing bowl', 'Mash the bananas well or puree them with a hand blender', 'Now add the oil vanilla cinnamon powder nutmeg powder to the banana and mix well', 'Sieve the flour with the baking soda baking powder salt directly in the bowl containing the mashed bananas', 'Fold the sieved flour really well', 'This folding step is important as you want the whole bread mixture to be one and mixed evenly', 'Lastly add the sunflower seeds and fold these', 'Pour the bread mixture into the loaf pan', 'Bake at  degree c for  minutes or till a toothpick inserted in the bread comes out clean', 'The timing varies from oven to oven depending on the temperature in your oven and the size of your pan the cake might take less or more time than mentioned here', 'So take your call and keep an eye on the bread However dont open the oven untill the bread is th done', 'The benchmark is that a tooth pick inserted in the bread should come out clean', 'When the bread cools down remove the banana bread from the pan', 'Slice and serve banana bread warm', 'The remaining banana loaf you can wrap in a cling film or keep in a box in the fridge Warm the banana bread before serving']",https://www.vegrecipesofindia.com/wp-content/uploads/2012/10/eggless-banana-bread.jpg
Kaju Katli,https://www.vegrecipesofindia.com/kaju-katli-recipe-kaju-katli/,"['cup cashews   grams', 'cup sugar   grams sugar', 'tablespoons water', 'tablespoon Ghee or coconut oil or any neutral tasting oil optional', 'teaspoon chopped rose petals or  teaspoon rose water or  to  strands of saffron optional']","['Powder the cashew in a coffee grinder blender or a dry grinder', 'The cashews should be in powdered form and not become pasty or oily', 'On a low flame heat sugar and water in a thick bottomed or non stick pan or kadai', 'Meanwhile grease a plate or a tray and keep aside or keep butter papers ready', 'When all the sugar has dissolved in the water add the cashew powder There is no consistency in the sugar syrup required like one string or two string Just let the sugar dissolve in the water and then proceed with the next step', 'Mix and keep on stirring the cashew mixture nonstop on a low flame', 'The cashew mixture would start thickening', 'Cook the kaju mixture for approx  to  minutes until the whole dough starts to come together', 'Remove the whole lump of the kaju dough from the pan and place it on your work surface or in a bowl or plate', 'Add the rose petals and ghee or oil to the cashew mixture', 'When the heat in the dough is hot enough to handle then knead the cashew mixture lightly', 'Flatten the dough and place it on a butter paper or on a greased plate or tray', 'Place a butter paper on top and then using a rolling pin roll gently the dough from all sides till you reach a thickness of  to  mm in the dough', 'Remove the butter paper and let the rolled dough cool', 'When completely cooled using a sharp knife cut the cashew dough giving square or diamond shapes', 'Gently remove the kaju katli with a butter knife', 'Serve the kaju katli straight away or keep in an airtight container']",https://www.vegrecipesofindia.com/wp-content/uploads/2013/10/kaju-katli-recipe-1.jpg
Apple Cake Eggless Vegan Whole Wheat,https://www.vegrecipesofindia.com/eggless-apple-cake-recipe-vegan/,"['cups whole wheat flour   grams', 'teaspoon baking soda', 'teaspoon baking powder', 'pinch salt', 'teaspoon cinnamon powder ground cinnamon', 'teaspoon ground allspice', 'teaspoon ginger powder ground ginger', 'teaspoon grated nutmeg or ground nutmeg', 'cups chopped apples   grams or  medium sized', 'cup raw sugar    grams', 'cup water or any nut milk  at room temperature', 'cup oil   use oil which has a neutral taste and flavor', 'teaspoon vanilla extract', 'tablespoon apple cider vinegar  or lemon juice or white vinegar']","['First combine the flour salt ground spices baking soda and baking powder in a sieve', 'Sift the dry ingredients twice and set aside', 'Brush or grease a round  to inch pan with a neutral flavored oil You can also line the pan with parchment Preheat your oven to  degrees Celsius  degrees Fahrenheit for  minutes', 'Take the chopped apples rinsed cored and peeled and raw sugar in a blender jar or container', 'Blend to a smooth pure without any chunks', 'Use a spatula to pour the apple puree into a mixing bowl', 'Add oil water vanilla extract and apple cider vinegar or lemon juice', 'With a wired whisk stir this mixture briskly for  to  minutes so that the oil is incorporated evenly in it', 'Add the sifted dry ingredients to this wet ingredients liquid mixture', 'Gently mix the dry ingredients in the wet ingredients with light pressure from your hands Dont over work the batter It should feel light and have volume', 'The batter has a medium flowing consistency', 'Break large lumps of flour if any by tapping on them with wired whisk Tiny lumps are fine in the batter', 'Pour the batter in the prepared pan', 'Bake at  degrees Celsius  degrees Fahrenheit in a preheated oven for about  minutes to  hour', 'Remember that oven temperatures vary so check if the cake is done or not with a toothpick when the top looks golden', 'Check the doneness with a wooden skewer The skewer should come out clean with no sticky batter on it', 'Place the baking pan on a wired tray and cool the apple cake at room temperature', 'After cooling gently use a butter knife to remove the cake from the pan', 'Slice and enjoy the apple cake Serve the cake slices at room temperature with tea or coffee', 'Tightly wrap the cake in a cling film or keep the cake in an airtight container and refrigerate Your leftover apple cake can be refrigerated for a week and frozen for a month']",https://www.vegrecipesofindia.com/wp-content/uploads/2021/01/apple-cake-recipe.jpg
easy and healthy smoothie recipes,https://www.vegrecipesofindia.com/smoothie-recipes/,[],[],https://www.vegrecipesofindia.com/wp-content/uploads/2018/04/smoothie-recipes.jpg
kanji recipe  black carrot kanji drink,https://www.vegrecipesofindia.com/carrot-kanji-gajar-kanji-recipe/,"['medium sized carrots', 'small beetroots', 'cups water approx  litres of water  boiled and filtered or purified', 'or  teaspoon red chili powder', 'tablespoon mustard powder dry grind  or  tablespoon mustard seeds', 'black salt as required']","['Rinse and then peel the carrots and beetroots', 'Chop into long pieces', 'Mix all the ingredients in a glass or ceramic jars', 'Cover with a lid or muslin cloth and keep the jars in the sun for  days', 'Stir with a wooden spoon everyday before keeping the jars back in the sun', 'When the kanji tastes sour it means the drink is fermented', 'Serve carrot kanji straightway or refrigerate']",https://www.vegrecipesofindia.com/wp-content/uploads/2013/03/carrot-kanji.jpg
khamang kakdi recipe  maharashtrian cucumber salad kakdi chi koshimbir,https://www.vegrecipesofindia.com/khamang-kakdi-recipe/,"['cups finely chopped cucumbers kakdi or  medium sized cucumbers', 'cup roasted peanuts', 'cup freshly grated coconut', 'green chili finely chopped', 'teaspoon lemon juice  can be added more or less', 'tablespoon chopped coriander leaves dhania patta', 'salt as required', 'sugar as required', 'tablespoon oil peanut or sunflower oil', 'teaspoon mustard seeds', 'to  curry leaves']","['Heat a small pan and add  cup peanuts', 'On a low flame stirring often roast the peanuts', 'The peanuts should have a few black spots on them and should be well roasted Keep them aside till they are cooled completely', 'Rinse  medium sized cucumbers Chop them finely You will need about  cups of finely chopped cucumber', 'Keep the chopped cucumber aside for  to  minutes in a bowl or plate', 'Meanwhile when the peanuts cool down remove the skin from the peanuts Just rub them between your palms and the peanut skin will come out easily Add the peanuts in a mortarpestle', 'Crush to a coarse powder You can even crush peanuts in a small mixergrinder jar', 'After  to  minutes squeeze water from the cucumber and add them all in a mixing bowl', 'Add the coarsely crushed peanuts', 'Add  cup fresh grated coconut  green chili chopped  tablespoon chopped coriander leaves and  teaspoon lemon juice You can add less or more lemon juice as required', 'Mix very well', 'Heat  tablespoon oil in a tadka pan or small pan Add  teaspoon mustard seeds and let them crackle', 'When the mustard seeds finish crackling add  to  curry leaves chopped or whole Stir and then switch off the flame', 'Pour the tempering mixture in the cucumber mixture', 'Mix very well Now you can keep the khamang kakdi mixture in the fridge if not serving', 'Just before serving add some sugar and salt as per taste', 'Mix well and then serve khamang kakdi']",https://www.vegrecipesofindia.com/wp-content/uploads/2012/10/khamang-kakdi-recipe-1.jpg
mango falooda with fresh mango pulp,https://www.vegrecipesofindia.com/mango-falooda-recipe/,"['teaspoon sabja seeds sweet basil seeds  soaked in  cup water', 'tablespoon falooda sev cooked as per package instructions', 'to  tablespoon rose syrup', 'to  cup mango puree or two medium sized mangoes blended to a smooth puree in a blender', 'to  cups chilled milk', 'tablespoon chopped or sliced pistachios  or a mix of chopped dry fruits', 'to  scoops of mango ice cream or vanilla ice cream optional', 'medium sized mango peeled and chopped in small cubes', 'crushed ice or ice cubes optional', 'mango custard optional', 'mango jelly optional', 'tutti frutti optional']","['First soak  tsp sabja seeds sweet basil seeds in  cup water for about  to  minutes', 'Later strain them with a tea strainer and keep aside', 'Then prepare the falooda sev according to package instructions', 'If you need to cook them then do boil them in water till they are cooked completely  softened', 'Rinse the cooked falooda sev in water and then drain them Keep aside coveredallow them to cool completely at room temperature', 'In serving glasses first add  tbsp rose syrup', 'Then add  tsp sabja seedssweet basil seeds', 'Next add  to  tsp falooda sev', 'Add  tbsp mango puree', 'Add  to  cup milk', 'Repeat the layers again', 'Add  to  cup milk', 'Add chopped mangoes', 'Top with a scoop of mango or vanilla ice cream and some chopped or sliced dry fruits Also add some chopped mangoes', 'Serve mango falooda immediately']",https://www.vegrecipesofindia.com/wp-content/uploads/2015/04/mango-falooda-recipe.jpg
Chakli Recipe,https://www.vegrecipesofindia.com/chakli-recipe-instant-chakli-recipe/,"['cup rice flour   to  grams', 'cup besan gram flour   to  grams', 'tablespoon oil or softened butter', 'to  cup water  add as required', 'teaspoon turmeric powder', 'teaspoon carom seeds ajwain', 'teaspoon cumin seeds', 'teaspoon red chili powder  or add as required', 'generous pinch asafoetida hing  optional', 'tablespoon sesame seeds  white or black', 'salt  as required', 'oil  for deep frying  any neutral high smokepoint oil']","['First take the rice flour and gram flour in a bowl', 'Add the carom seeds cumin seeds sesame seeds turmeric powder red chili powder asafoetida and salt', 'Mix everything with a spoon', 'Heat butter or oil in a bowl or small pan to aslight simmer but donotboil or burn', 'Add the hot butter or oil to flour mixture', 'Mix the butter or oil with a spoon first Then use your fingertips to thoroughly combine Set aside', 'In a sauce pan heat water until it starts boiling', 'Add this hot water in parts to the flour mixture Mix with a spoon', 'Add more hot water as required Mix with a spoon first and then using slightly damp hands knead to a firm yet pliable dough', 'Cover and let the dough rest for  minutes', 'Apply some water in the chaklimurukku maker and place a portion of the dough inside it', 'Tighten the lid and press the chakli maker to prepare the chakli Move in rounds to get a spiral shape Make the chakli on butter paper or aluminium foil so thats it is easy to remove them', 'TIP  If the chakli breaks while forming them this means that the dough does not have enough moisture Add  or  tbsp of water and knead the dough again', 'TIP  If you are not getting proper shape this mean that the dough is too moist Add some flour and knead again', 'Break the dough towards the end and press it to the last concentric circle of the spiral', 'Heat oil for deep frying in a pan Take a small piece of the dough and check the temperature of the oil', 'If the dough comes up gradually then the oil is ready If the dough sits at the bottom the oil is still cold If the piece of dough comes up briskly and quickly the oil is too hot', 'TIP  Have a bite into the fried piece of dough and if it tastes hard add  or  tablespoon of hot oil or butter to the dough and knead again', 'Lift the chakli gently and slid into the hot oil', 'Fry  to  chakli at a time Do not over crowd the kadai or pan while frying', 'TIP  Check the first batch of chakli If it looks like the chakli has absorbed oil or breaks in oil then add some rice flour about  to  tablespoons and knead again This happens if too much fat has gone in the dough', 'Fry them until crisp and golden', 'Drain them on paper towels to remove extra oil', 'Make chakli with the remaining dough on the parchment paper Cover them with a dry kitchen napkin so that they dont dry out', 'Fry the remaining batches in the same way Once they come at room temperature then store them in an airtight box or jar', 'Serve chakli plain as a snack with some masala chai']",https://www.vegrecipesofindia.com/wp-content/uploads/2014/10/chakli-3.jpg
